nodeName,Node Level,tvla
n_10,0,5.421037
n_1,0,1.511421
n_0,0,-10.252983
n_4,0,-9.877820
n_19,0,-12.488499
n_33,0,-11.809293
n_12,1,0.938781
n_11,1,0.989177
n_8,1,0.970969
n_5,1,1.453380
n_14,1,4.694865
n_3,1,-7.376764
n_2,1,-5.880215
n_20,1,4.464758
n_23,2,0.981785
n_22,2,0.898266
n_21,2,3.636681
n_18,2,-3.207654
n_17,2,-4.739699
n_16,2,-4.665507
n_15,2,3.679107
n_13,2,-4.646621
n_9,2,-5.901291
n_7,2,-5.579711
n_6,2,-5.867281
n_35,3,0.646527
n_34,3,0.611263
n_29,3,-4.879230
n_28,3,13.129207
n_27,3,1.992913
n_26,3,1.924029
n_25,3,1.911863
n_24,3,-4.464162
n_38,4,-2.625152
n_37,4,-2.481967
n_36,4,1.627880
n_32,4,-9.782149
n_31,4,-7.707854
n_30,4,-9.378118
n_42,5,-4.914578
n_41,5,-8.641029
n_40,5,-6.609826
n_39,5,-8.840997
n_47,6,-2.540589
n_46,6,-2.388538
n_44,6,-8.934992
n_43,6,-2.403043
out[1],7,-nan
n_49,7,-2.476846
out[3],7,-nan
out[2],7,-nan
out[0],8,-nan
