nodeName,Node Level,tvla
n41n,0,-1.047121
n00n,0,-5.143642
n01n,0,-5.967981
n02n,0,-2.783595
n09n,0,0.909412
n29n,0,1.517477
n41nb,1,-0.973115
n03n,1,-4.320593
n10n,1,-0.741457
n12n,1,-1.002095
n13n,1,1.376467
n27n,1,0.893900
n30n,1,-0.572728
n34n,1,0.743033
n04n,2,2.068101
n14n,2,-0.647958
n18n,2,1.393990
n28n,2,-0.483341
n35n,2,1.124521
n38n,2,1.453969
n05n,3,1.898874
n11n,3,1.002095
n15n,3,-1.696861
n19n,3,-0.656206
n31n,3,-0.985764
n36n,3,-0.608040
n39n,3,-0.750650
n06n,4,-1.026740
n16n,4,1.198260
n20n,4,1.497225
n32n,4,1.740475
n40n,4,-5.334476
n07n,5,1.731911
n17n,5,-0.647911
n21n,5,-1.047345
n24n,5,1.208363
n33n,5,-0.663279
o[0],5,-nan
n08n,6,-0.659816
n22n,6,1.159199
n25n,6,-6.005266
n37n,6,-2.439181
o[3],7,-nan
n23n,7,-4.706801
o[1],7,-nan
n26n,8,-2.960295
o[2],9,-nan
