nodeName,Node Level,tvla
n00n,0,-3.365012
n01n,0,-0.982293
n02n,0,-3.117428
n03n,0,-1.185012
n04n,0,-1.224198
n06n,0,0.789881
n15n,0,3.847305
n05n,1,2.171004
n07n,1,-3.176548
n09n,1,-4.673274
n10n,1,1.390943
n13n,1,-9.533591
n16n,1,0.989177
n21n,1,-1.303624
n23n,1,1.451857
n25n,1,1.413789
n08n,2,1.727120
o[2],2,-nan
n11n,2,-0.752097
n14n,2,5.232605
n17n,2,-0.352475
n18n,2,-6.341143
n22n,2,-9.507840
n24n,2,-0.578167
n26n,2,-0.764449
n12n,3,3.930138
n19n,3,3.474475
o[3],3,-nan
n27n,3,-5.470274
o[0],4,-nan
n20n,4,9.134383
o[4],4,-nan
o[1],5,-nan
